PartitionKey,RowKey,Timestamp,DateOfBirth,DateOfBirth@type,Family,Family@type,FamilyIncome,FamilyIncome@type,FullName,FullName@type,Gender,Gender@type,HeadOfFamily,HeadOfFamily@type,HouseHoldSize,HouseHoldSize@type,IsEarning,IsEarning@type,LocationGeo,LocationGeo@type,Race,Race@type,Region,Region@type,State,State@type
China,489-79-7601,2021-11-18T03:36:28.497Z,10/18/1998,Edm.String,7,Edm.Int32,1490.68,Edm.String,Wan Jiping,Edm.String,Female,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,23.5500468,Edm.Double,Native,Edm.String,Asia Pacific,Edm.String,Beijing,Edm.String
China,489-79-7612,2021-11-18T03:36:28.497Z,05-12-1947,Edm.String,7,Edm.Int32,2400.62,Edm.String,Kim Jiping,Edm.String,Male,Edm.String,Yes,Edm.String,2,Edm.Int32,Yes,Edm.String,23.5500468,Edm.Double,Native,Edm.String,Asia Pacific,Edm.String,Beijing,Edm.String
Egypt,653-58-3389,2021-11-18T03:36:28.500Z,05-06-1965,Edm.String,22,Edm.Int32,1510.31,Edm.String,Keket,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,117.173524,Edm.Double,Native,Edm.String,Middle East,Edm.String,Luxor,Edm.String
Finland,211-56-9735,2021-11-18T03:36:28.499Z,11/16/1983,Edm.String,10,Edm.Int32,1534.77,Edm.String,Olivar,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,No,Edm.String,-61.1213871,Edm.Double,Native,Edm.String,Europe,Edm.String,Turku,Edm.String
Finland,347-21-0954,2021-11-18T03:36:28.499Z,10/23/1955,Edm.String,11,Edm.Int32,5760.49,Edm.String,Leo Marin,Edm.String,Female,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,-61.1213871,Edm.Double,Native,Edm.String,Europe,Edm.String,Turku,Edm.String
Ghana,124-53-2562,2021-11-18T03:36:28.501Z,11-05-1991,Edm.String,14,Edm.Int32,4144.12,Edm.String,Harry Kane,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,139.8470483,Edm.Double,Native,Edm.String,Africa,Edm.String,Accra,Edm.String
Ghana,586-52-4802,2021-11-18T03:36:28.501Z,09-01-1998,Edm.String,13,Edm.Int32,2892.45,Edm.String,Sani Abubakar,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,No,Edm.String,139.8470483,Edm.Double,Native,Edm.String,Africa,Edm.String,Accra,Edm.String
Ghana,663-95-4549,2021-11-18T03:36:28.501Z,10-03-1971,Edm.String,16,Edm.Int32,3490.83,Edm.String,Maria Nyamai Wavinya,Edm.String,Female,Edm.String,Yes,Edm.String,1,Edm.Int32,No,Edm.String,120.752481,Edm.Double,Native,Edm.String,Africa,Edm.String,Tema,Edm.String
India,127-54-830-6512,2021-11-18T03:36:28.499Z,06-01-1983,Edm.String,4,Edm.Int32,0,Edm.String,Rahul Sharma,Edm.String,Male,Edm.String,No,Edm.String,2,Edm.Int32,No,Edm.String,125.57278,Edm.Double,Native,Edm.String,Asia Pacific,Edm.String,Uttar Pradesh,Edm.String
India,127-54-830-6574,2021-11-18T03:36:28.499Z,4/23/1961,Edm.String,4,Edm.Int32,1880.90,Edm.String,Roshni Sharma,Edm.String,Female,Edm.String,Yes,Edm.String,2,Edm.Int32,Yes,Edm.String,125.57278,Edm.Double,Native,Edm.String,Asia Pacific,Edm.String,Uttar Pradesh,Edm.String
India,145-54-123-5326,2021-11-18T03:36:28.499Z,04-08-1951,Edm.String,6,Edm.Int32,3778.74,Edm.String,Ganesh Yella,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,125.57278,Edm.Double,Native,Edm.String,Asia Pacific,Edm.String,Maharashtra,Edm.String
India,233-43-231-0945,2021-11-18T03:36:28.499Z,10-01-1954,Edm.String,5,Edm.Int32,4091.88,Edm.String,Deepak Chauhan,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,125.57278,Edm.Double,Native,Edm.String,Asia Pacific,Edm.String,Delhi,Edm.String
India,397-78-800-0212,2021-11-18T03:36:28.499Z,3/13/1949,Edm.String,3,Edm.Int32,1678.51,Edm.String,Kavita Tyagi,Edm.String,Female,Edm.String,Yes,Edm.String,2,Edm.Int32,Yes,Edm.String,16.2979279,Edm.Double,Indian,Edm.String,Asia Pacific,Edm.String,Delhi,Edm.String
India,397-78-800-0234,2021-11-18T03:36:28.499Z,1/18/1935,Edm.String,3,Edm.Int32,0,Edm.String,Pritik Tyagi,Edm.String,Male,Edm.String,No,Edm.String,2,Edm.Int32,No,Edm.String,16.2979279,Edm.Double,Indian,Edm.String,Asia Pacific,Edm.String,Delhi,Edm.String
Iran,145-21-5632,2021-11-18T03:36:28.501Z,11-05-1991,Edm.String,18,Edm.Int32,6288.46,Edm.String,Syed Ahmed,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,18.3838669,Edm.Double,Native,Edm.String,Middle East,Edm.String,Tehran,Edm.String
Iran,356-32-0977,2021-11-18T03:36:28.501Z,12/15/2000,Edm.String,19,Edm.Int32,9679.47,Edm.String,Ebrahim Raisi,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,No,Edm.String,30.2867644,Edm.Double,Native,Edm.String,Middle East,Edm.String,Shiraz,Edm.String
Iran,672-52-5667,2021-11-18T03:36:28.501Z,09-01-1998,Edm.String,17,Edm.Int32,8421.84,Edm.String,Abbas Mastan,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,18.3838669,Edm.Double,Native,Edm.String,Middle East,Edm.String,Tehran,Edm.String
Ireland,173-30-3055,2021-11-18T03:36:28.497Z,12-03-1996,Edm.String,9,Edm.Int32,9698.85,Edm.String,Hugh Murphy,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,109.116667,Edm.Double,Native,Edm.String,Europe,Edm.String,Galway,Edm.String
Kenya,348-12-5898,2021-11-18T03:36:28.497Z,12/15/2000,Edm.String,15,Edm.Int32,9980.70,Edm.String,Aluna,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,117.001279,Edm.Double,Native,Edm.String,Africa,Edm.String,Nairobi,Edm.String
Nigeria,519-54-7483,2021-11-18T03:36:28.498Z,06-03-1970,Edm.String,12,Edm.Int32,5004.75,Edm.String,Obi Ghebo,Edm.String,Female,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,118.481377,Edm.Double,Native,Edm.String,Africa,Edm.String,Logus,Edm.String
Sri Lanka,153-36-6019,2021-11-18T03:36:28.497Z,7/16/1978,Edm.String,8,Edm.Int32,7307.74,Edm.String,Yohani De Silva,Edm.String,Female,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,41.7631303,Edm.Double,Native,Edm.String,Asia Pacific,Edm.String,Colambo,Edm.String
United States of America,124-65-2114,2021-11-18T03:36:28.497Z,4/19/1956,Edm.String,1,Edm.Int32,0,Edm.String,Meg Bryne,Edm.String,Male,Edm.String,No,Edm.String,2,Edm.Int32,No,Edm.String,125.57278,Edm.Double,Native American,Edm.String,Americas,Edm.String,Texas,Edm.String
United States of America,240-79-3970,2021-11-18T03:36:28.497Z,12/28/1949,Edm.String,1,Edm.Int32,"3,641.95",Edm.String,Emma Sofia,Edm.String,Female,Edm.String,Yes,Edm.String,2,Edm.Int32,Yes,Edm.String,125.57278,Edm.Double,Native American,Edm.String,Americas,Edm.String,Texas,Edm.String
United States of America,566-82-0632,2021-11-18T03:36:28.497Z,9/19/1967,Edm.String,2,Edm.Int32,2021.25,Edm.String,Olivia,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,127.1479532,Edm.Double,Native,Edm.String,Americas,Edm.String,Miami,Edm.String
Yemen,145-32-1354,2021-11-18T03:36:28.500Z,3/31/1940,Edm.String,21,Edm.Int32,6626.01,Edm.String,Issa Abara,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,6.7788461,Edm.Double,Native,Edm.String,Middle East,Edm.String,Aden,Edm.String
Yemen,161-13-9907,2021-11-18T03:36:28.500Z,10-03-1971,Edm.String,20,Edm.Int32,9074.58,Edm.String,Abbud,Edm.String,Male,Edm.String,Yes,Edm.String,1,Edm.Int32,Yes,Edm.String,6.7788461,Edm.Double,Native,Edm.String,Middle East,Edm.String,Aden,Edm.String
