PartitionKey,RowKey,Timestamp,BloodOxygen,BloodOxygen@type,BpHigher,BpHigher@type,BpLower,BpLower@type,DateOfBirth,DateOfBirth@type,FullName,FullName@type,Gender,Gender@type,HeartRate,HeartRate@type,LocationGeo,LocationGeo@type,OutdoorRunning,OutdoorRunning@type,Recurrence,Recurrence@type,Sleep,Sleep@type,Smoking,Smoking@type,Steps,Steps@type,Tempature,Tempature@type,Tobacco,Tobacco@type,height,height@type,id,id@type,type_of_gadget,type_of_gadget@type,weight,weight@type
India,124-65-2114,2021-11-18T23:31:21.835Z,84,Edm.Int32,80-120,Edm.String,60-90,Edm.String,4/19/1956,Edm.String,Meg Bryne,Edm.String,Male,Edm.String,60-100,Edm.String,31.6054893,Edm.Double,12,Edm.Int32,Weekly,Edm.String,5,Edm.Int32,true,Edm.Boolean,"1,200",Edm.String,37,Edm.Int32,true,Edm.Boolean,5.41,Edm.Double,2,Edm.Int32,Fitbit Smart Bands,Edm.String,40,Edm.Int32
India,127-54-830-6512,2021-11-18T23:31:21.836Z,75,Edm.Int32,80-120,Edm.String,60-90,Edm.String,6/1/1983,Edm.String,Rahul Sharma,Edm.String,Male,Edm.String,60-100,Edm.String,13.1536197,Edm.Double,76,Edm.Int32,Weekly,Edm.String,5,Edm.Int32,false,Edm.Boolean,123,Edm.String,37,Edm.Int32,true,Edm.Boolean,6.04,Edm.Double,7,Edm.Int32,Honor Smart Bands,Edm.String,41,Edm.Int32
India,127-54-830-6574,2021-11-18T23:31:21.836Z,84,Edm.Int32,80-120,Edm.String,60-90,Edm.String,4/23/1961,Edm.String,Roshni Sharma,Edm.String,Female,Edm.String,60-100,Edm.String,-2.933333,Edm.Double,326,Edm.Int32,Weekly,Edm.String,7,Edm.Int32,false,Edm.Boolean,"34,324",Edm.String,37,Edm.Int32,true,Edm.Boolean,8.45,Edm.Double,6,Edm.Int32,Lenovo Smart Bands,Edm.String,61,Edm.Int32
India,145-54-123-5326,2021-11-18T23:31:21.836Z,84,Edm.Int32,80-120,Edm.String,60-90,Edm.String,4/8/1951,Edm.String,Ganesh Yella,Edm.String,Male,Edm.String,60-100,Edm.String,118.431541,Edm.Double,143,Edm.Int32,Weekly,Edm.String,7,Edm.Int32,false,Edm.Boolean,"2,32,546",Edm.String,37,Edm.Int32,true,Edm.Boolean,6.89,Edm.Double,9,Edm.Int32,Lenovo Smart Bands,Edm.String,55,Edm.Int32
India,153-36-6019,2021-11-18T23:31:21.837Z,96,Edm.Int32,80-120,Edm.String,60-90,Edm.String,7/16/1978,Edm.String,Yohani De Silva,Edm.String,Female,Edm.String,60-100,Edm.String,-80.8328724,Edm.Double,13,Edm.Int32,Weekly,Edm.String,3,Edm.Int32,true,Edm.Boolean,"1,21,867",Edm.String,37,Edm.Int32,false,Edm.Boolean,5.01,Edm.Double,12,Edm.Int32,Lenovo Smart Bands,Edm.String,80,Edm.Int32
India,233-43-231-0945,2021-11-18T23:31:21.836Z,92,Edm.Int32,80-120,Edm.String,60-90,Edm.String,10/1/1954,Edm.String,Deepak Chauhan,Edm.String,Male,Edm.String,60-100,Edm.String,-101.1833267,Edm.Double,435,Edm.Int32,Weekly,Edm.String,3,Edm.Int32,false,Edm.Boolean,"2,14,376",Edm.String,37,Edm.Int32,true,Edm.Boolean,6.78,Edm.Double,8,Edm.Int32,Huawei Smart Bands,Edm.String,89,Edm.Int32
India,240-79-3970,2021-11-18T23:31:21.835Z,92,Edm.Int32,80-120,Edm.String,60-90,Edm.String,12/28/1949,Edm.String,Emma Sofia,Edm.String,Female,Edm.String,60-100,Edm.String,119.9874642,Edm.Double,10,Edm.Int32,Weekly,Edm.String,7,Edm.Int32,true,Edm.Boolean,"15,000",Edm.String,37,Edm.Int32,false,Edm.Boolean,9.32,Edm.Double,1,Edm.Int32,Fastrack Smart Bands,Edm.String,83,Edm.Int32
India,397-78-800-0212,2021-11-18T23:31:21.835Z,92,Edm.Int32,80-120,Edm.String,60-90,Edm.String,3/13/1949,Edm.String,Kavita Tyagi,Edm.String,Female,Edm.String,60-100,Edm.String,-3.2602564,Edm.Double,545,Edm.Int32,Weekly,Edm.String,7,Edm.Int32,true,Edm.Boolean,"34,267",Edm.String,37,Edm.Int32,true,Edm.Boolean,8.68,Edm.Double,5,Edm.Int32,Huawei Smart Bands,Edm.String,60,Edm.Int32
India,397-78-800-0234,2021-11-18T23:31:21.835Z,78,Edm.Int32,80-120,Edm.String,60-90,Edm.String,1/18/1935,Edm.String,Pritik Tyagi,Edm.String,Male,Edm.String,60-100,Edm.String,99.8333333,Edm.Double,1,Edm.Int32,Weekly,Edm.String,7,Edm.Int32,true,Edm.Boolean,"12,453",Edm.String,37,Edm.Int32,true,Edm.Boolean,9.03,Edm.Double,4,Edm.Int32,Honor Smart Bands,Edm.String,35,Edm.Int32
India,489-79-7601,2021-11-18T23:31:21.837Z,78,Edm.Int32,80-120,Edm.String,60-90,Edm.String,10/18/1998,Edm.String,Wan Jiping,Edm.String,Female,Edm.String,60-100,Edm.String,111.7301652,Edm.Double,21,Edm.Int32,Weekly,Edm.String,5,Edm.Int32,false,Edm.Boolean,"1,22,667",Edm.String,37,Edm.Int32,false,Edm.Boolean,6.36,Edm.Double,11,Edm.Int32,Huawei Smart Bands,Edm.String,69,Edm.Int32
