PartitionKey,RowKey,Timestamp,Id,Id@type,Area,Area@type,AgeGroup,AgeGroup@type,Gender,Gender@type,Income,Income@type,Status,Status@type,FullName,FullName@type,DateOfBirth,DateOfBirth@type,Region,Region@type,IsEarning,IsEarning@type,HeadOfFamily,HeadOfFamily@type,Race,Race@type,FamilyIncome,FamilyIncome@type,Age,Age@type
India,01e247f0-85f4-470c-afef-5065bcf07944,2021-11-25T14:01:04.295Z,3,Edm.Int32,Dhaka,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,02599e3d-6a20-4301-8373-c310554ede00,2021-11-23T03:36:47.338Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,033ba8da-71bd-4b62-9548-8d77a9e6c2d9,2021-11-22T17:32:14.017Z,2,Edm.Int32,India,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,0410ab06-6295-4614-bf42-5527e543debc,2021-11-22T13:04:07.298Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,04d3e5bf-c48b-4e17-91dd-c1028df75dea,2021-11-22T03:58:50.411Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,078bd3cd-5d4f-4cc5-a6e3-69f534a3a7fc,2021-11-23T09:31:15.664Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,088d34df-88fa-4a7a-9db1-23d1779cf21b,2021-11-22T13:06:07.997Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,089472b0-0e34-403c-9961-a9094b2ee756,2021-11-22T02:26:33.997Z,2,Edm.Int32,,,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,0a640c26-8cd7-4ad4-a26b-2613a4129332,2021-11-23T09:13:51.753Z,1,Edm.Int32,Seoul,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,0b49be4e-f725-43c5-b3e9-2121b4c32ef2,2021-11-22T10:23:42.250Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,0c09956d-04cc-48fd-a462-82e8952ec000,2021-11-22T11:56:08.765Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,0cda23c6-8a39-4fca-906f-a2a35b5d034c,2021-11-23T02:47:55.758Z,2,Edm.Int32,India,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,0cfe6bdb-b6fa-4d8b-8c60-cdc4c5ab59eb,2021-11-23T03:33:42.255Z,3,Edm.Int32,undefined,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,0d2852d4-4a86-420f-ac73-ca6207b9547e,2021-11-23T09:14:42.859Z,2,Edm.Int32,Seoul,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,0ec20d93-c819-4c9d-8dcb-79fd45302f46,2021-11-22T03:55:36.309Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,0f6e7244-1975-475c-8977-024448057628,2021-11-23T07:13:00.225Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,112aa175-51f4-4dbc-9d87-d8a44b0dd0cf,2021-11-22T13:00:29.045Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,114d2d75-c096-4bc4-9c8d-79fe6fbd6218,2021-11-23T08:33:06.730Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,11a909aa-2692-4802-9813-8dc51aa3d8af,2021-11-23T03:33:52.634Z,1,Edm.Int32,undefined,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,11b79e99-d3e3-429b-ad3b-865ade71953f,2021-11-22T02:21:31.970Z,2,Edm.Int32,,,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,1415ec9a-0530-4fc7-bab7-a88d517126c7,2021-11-23T11:04:15.008Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,1434b8ce-1918-4ab8-8d65-94048e81fe3e,2021-11-22T12:00:10.463Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,145-54-123-5326,2021-11-22T00:32:54.034Z,,,,,,,Male,Edm.String,,,,,Ganesh Yella,Edm.String,04-08-1951,Edm.String,Asia Pacific,Edm.String,Yes,Edm.String,Yes,Edm.String,Native,Edm.String,3778.74,Edm.String,70,Edm.Int32
India,1450cc2f-5047-493f-94ba-1fa6d48fbbeb,2021-11-22T17:32:21.746Z,3,Edm.Int32,India,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,145e6569-f9dd-484c-9916-7840e763643d,2021-11-23T03:13:17.950Z,2,Edm.Int32,undefined,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,17065e0f-ecc1-4ab6-b7a4-7c07018bbfa1,2021-11-22T17:19:34.633Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,17b55d0e-8699-4487-ba3e-161c1672cf85,2021-11-22T02:29:56.865Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
